asset,fold,start,end,variant,cost_per_side,total_return,annualized_return,max_drawdown,sharpe_ratio,turnover_sides
BTC-USD,2017-2018,2017-01-01,2018-12-31,BASELINE,0.006,4.239827466320833,1.289066942297851,-0.3536065179253114,1.6649799346295109,9.0
BTC-USD,2017-2018,2017-01-01,2018-12-31,V1-B1,0.006,4.484453331358178,1.3418909734140438,-0.4101361814086911,1.683285812702284,11.0
BTC-USD,2017-2018,2017-01-01,2018-12-31,V1-S1,0.006,5.2336490855498345,1.4967276754884251,-0.34656572693856136,1.8462732534528778,11.0
BTC-USD,2019-2020,2019-01-01,2020-12-31,BASELINE,0.006,2.694003412811736,0.9202619706659643,-0.5158660936367887,1.5634375915444243,19.0
BTC-USD,2019-2020,2019-01-01,2020-12-31,V1-B1,0.006,2.678717946958386,0.9162903483879221,-0.5178693977670719,1.5497737255332176,21.0
BTC-USD,2019-2020,2019-01-01,2020-12-31,V1-S1,0.006,2.713768296500495,0.9253853012748796,-0.49760440088660574,1.5778202764204412,19.0
BTC-USD,2021-2022,2021-01-01,2022-12-31,BASELINE,0.006,0.8273443286413937,0.35179300510151834,-0.31277651379492266,0.9350891127145711,9.0
BTC-USD,2021-2022,2021-01-01,2022-12-31,V1-B1,0.006,0.8183945770713892,0.3484786157264004,-0.3161423159473723,0.9204900331290697,9.0
BTC-USD,2021-2022,2021-01-01,2022-12-31,V1-S1,0.006,0.8852226739047566,0.3730341124330294,-0.27575583854673436,0.978559512428095,9.0
BTC-USD,2023-2024,2023-01-01,2024-12-31,BASELINE,0.006,1.8762555739001692,0.6947275953940928,-0.32376489882900583,1.5319023413699842,22.0
BTC-USD,2023-2024,2023-01-01,2024-12-31,V1-B1,0.006,1.8803396002306827,0.6959287036583919,-0.3237648988290054,1.5312300192477244,24.0
BTC-USD,2023-2024,2023-01-01,2024-12-31,V1-S1,0.006,1.7850035943049503,0.667664260767155,-0.31494254183934145,1.496400074024989,24.0
BTC-USD,2025-2026,2025-01-01,2026-07-26,BASELINE,0.006,-0.08177892562769218,-0.05298642670736464,-0.15594730016293612,-0.1997134682117161,12.0
BTC-USD,2025-2026,2025-01-01,2026-07-26,V1-B1,0.006,-0.056151653127142764,-0.036204691590456695,-0.17799513746393758,-0.10203542100257706,14.0
BTC-USD,2025-2026,2025-01-01,2026-07-26,V1-S1,0.006,-0.06899243207652916,-0.04459243658804746,-0.14433276325283073,-0.16863609094440804,14.0
