asset,variant,label,cost_per_side,total_return,annualized_return,max_drawdown,sharpe_ratio,num_operations,win_rate,time_in_market,turnover_sides
BTC-USD,BASELINE,Baseline v1,0.0,367.38206612273154,0.7574728032150253,-0.48310296740433956,1.4871041352161907,37,0.4864864864864865,0.46210141139571353,74.0
BTC-USD,V1-B1,Acquisto senza condizione volume,0.0,411.7260531572367,0.7766386588359779,-0.4790087026286707,1.4987294471135666,41,0.4634146341463415,0.47673810768426556,82.0
BTC-USD,V1-S1,Vendita dopo 1 Close sotto SMA50,0.0,398.96820242141393,0.7713233797830308,-0.45981934586678475,1.5235280570375507,43,0.46511627906976744,0.4375326711970727,86.0
BTC-USD,BASELINE,Baseline v1,0.001,341.09333119458205,0.7451000668327703,-0.48824873928305546,1.4711225299223507,37,0.4864864864864865,0.46210141139571353,74.0
BTC-USD,V1-B1,Acquisto senza condizione volume,0.001,379.21733976583806,0.7627840987562187,-0.48522632713210667,1.4812805569150764,41,0.4634146341463415,0.47673810768426556,82.0
BTC-USD,V1-S1,Vendita dopo 1 Close sotto SMA50,0.001,365.9927236581702,0.7568392212184651,-0.46519690898705734,1.5046248853901414,43,0.46511627906976744,0.4375326711970727,86.0
BTC-USD,BASELINE,Baseline v1,0.0025,305.0930028346172,0.7266811770605286,-0.49588098088327226,1.4470614337019794,37,0.4864864864864865,0.46210141139571353,74.0
BTC-USD,V1-B1,Acquisto senza condizione volume,0.0025,335.139880869703,0.7421789504777943,-0.4944253135135517,1.455008130292925,41,0.4634146341463415,0.47673810768426556,82.0
BTC-USD,V1-S1,Vendita dopo 1 Close sotto SMA50,0.0025,321.5041006160488,0.7353079861827394,-0.4731729448319629,1.4761617287748627,43,0.46511627906976744,0.4375326711970727,86.0
BTC-USD,BASELINE,Baseline v1,0.004,272.8353571116809,0.7084294114923224,-0.5034106249584638,1.422899066412563,37,0.4864864864864865,0.46210141139571353,74.0
BTC-USD,V1-B1,Acquisto senza condizione volume,0.004,296.1170915436064,0.7217841893960857,-0.5034733880504829,1.428622843586466,41,0.4634146341463415,0.47673810768426556,82.0
BTC-USD,V1-S1,Vendita dopo 1 Close sotto SMA50,0.004,282.353492933008,0.7140088229375254,-0.48222612131964004,1.447575812057068,43,0.46511627906976744,0.4375326711970727,86.0
BTC-USD,BASELINE,Baseline v1,0.006,234.9885461667136,0.6843515043320245,-0.5158660936367891,1.3905351738935765,37,0.4864864864864865,0.46210141139571353,74.0
BTC-USD,V1-B1,Acquisto senza condizione volume,0.006,250.96800940088738,0.6949152719376472,-0.5178693977670719,1.3932787967314975,41,0.4634146341463415,0.47673810768426556,82.0
BTC-USD,V1-S1,Vendita dopo 1 Close sotto SMA50,0.006,237.3716070141129,0.685967212603634,-0.49760440088660585,1.4092846800286063,43,0.46511627906976744,0.4375326711970727,86.0
