Data,Open,High,Low,Close,BTC-USD,SMA50,SMA200,RSI,ATR,Volume,VolumeAvg20,Azione,Livello_Rischio
2016-02-04,368.87,390.63,368.74,387.99,387.99,416.7172,322.0316,47.909683879597,17.069635261524187,8887.7572324,8525.1860761175,VENDI,MEDIO
2016-02-05,387.99,389.36,382.99,384.5,384.5,415.29720000000003,322.5541,46.65203893986231,16.305375599986746,7443.92933224,7998.120603505001,VENDI,BASSO
2016-02-06,384.44,384.54,370.05,375.44,375.44,413.5426,323.04470000000003,43.462438478484756,16.175705914273408,6276.66473729,7898.033750695501,VENDI,BASSO
2016-02-07,375.44,379.81,373.24,377.49,377.49,411.86659999999995,323.5427,44.38892119681036,15.48958406325388,4164.50911131,7670.686218458999,VENDI,BASSO
2016-02-08,377.47,379.35,370.5,371.14,371.14,410.445,324.01145,42.08819419372728,15.015328058735747,7094.20857777,7618.728296830501,VENDI,BASSO
2016-02-09,371.02,374.93,370.13,372.68,372.68,409.16240000000005,324.42924999999997,42.86167524959951,14.285661768826053,8424.5942075,7346.223424239999,VENDI,BASSO
2016-02-10,372.76,383.34,371.87,378.44,378.44,408.0528,324.87295,45.77869255503231,14.084543071052762,9736.03682475,7396.067094534001,VENDI,BASSO
2016-02-11,378.49,379.5,360.0,378.23,378.23,406.7688,325.29465,45.68711548667265,14.471361423120422,10413.06371586,7245.215128364999,VENDI,BASSO
2016-02-12,378.23,382.05,377.46,382.05,382.05,405.295,325.73385,47.735261365151665,13.765549892897537,6162.21762337,7237.8245084234995,VENDI,BASSO
2016-02-13,382.05,396.0,381.99,391.0,391.0,403.9982,326.21005,52.27612130321024,13.783010614833426,5978.85647171,7359.2257434175,VENDI,BASSO
2016-02-14,391.0,406.92,391.0,406.59,406.59,403.7418,326.79204999999996,58.96418168017609,13.935652713773898,7557.25485027,7412.488495338001,ACQUISTA,MEDIO
2016-02-15,406.62,409.09,394.03,398.95,398.95,403.2264,327.34435,54.903522084460214,14.01596323421862,6568.48538284,7391.862269462499,MANTIENI STATO ATTUALE,MEDIO
2016-02-16,398.94,407.5,390.0,407.42,407.42,402.936,327.9555,58.329698246007744,14.264823003203006,5649.43557069,7358.1258384835,MANTIENI STATO ATTUALE,MEDIO
